meal,drink
Dinner,Soda
Dinner,Soda
Dinner,Soda
Lunch,Juice
Dinner,Soda
Lunch,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Lunch,Soda
Dinner,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Lunch,Juice
Lunch,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Dinner,Soda
Lunch,Soda
Dinner,Juice
Dinner,Juice
Lunch,Soda
Lunch,Soda
Dinner,Soda
Dinner,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Juice
Lunch,Juice
Dinner,Juice
Dinner,Soda
Lunch,Juice
Dinner,Juice
Dinner,Juice
Lunch,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Soda
Lunch,Juice
Lunch,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Soda
Dinner,Juice
Dinner,Soda
Lunch,Juice
Lunch,Juice
Lunch,Soda
Dinner,Juice
Lunch,Soda
Dinner,Juice
Dinner,Soda
Lunch,Soda
Dinner,Soda
Lunch,Juice
Dinner,Juice
Dinner,Soda
Dinner,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Juice
Dinner,Juice
Dinner,Juice
Lunch,Soda
Lunch,Juice
Dinner,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Lunch,Juice
Dinner,Juice
Lunch,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Lunch,Soda
Lunch,Juice
Dinner,Juice
Dinner,Juice
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Soda
Lunch,Juice
Dinner,Juice
Lunch,Soda
Dinner,Soda
Dinner,Juice
Lunch,Juice
Dinner,Soda
Lunch,Soda
Dinner,Soda
Dinner,Soda
Dinner,Soda
Dinner,Juice
Dinner,Juice
Dinner,Juice
Dinner,Soda
Lunch,Juice
Dinner,Soda
